brand,model,slug,c_rating,capacity_mah,cells,chemistry,connector,dimensions_mm,price_per_wh_usd,price_usd,weight_g,sources,note
GNB,Gaoneng 660mAh 4S,gnb-gaoneng-660mah-4s,90C,660,4S,LiHV,XT30,31x18x65mm,2.04,20.49,63.0,https://www.racedayquads.com/products/gaoneng-gnb-15-2v-4s-660mah-90c-lihv-micro-battery-long-type-xt30,
GNB,Gaoneng 660mAh 6S,gnb-gaoneng-660mah-6s,90C,660,6S,LiHV,XT30,47x18x65mm,2.09,31.49,94.0,https://www.racedayquads.com/products/gaoneng-gnb-22-8v-6s-660mah-90c-lihv-micro-battery-long-type-xt30,
GNB,Gaoneng 720mAh 1S,gnb-gaoneng-720mah-1s,100C,720,1S,LiHV,A30,7.5x18x65mm,3.29,8.99,16.0,https://www.racedayquads.com/products/gaoneng-gnb-3-8v-1s-720mah-100c-lihv-whoop-micro-battery-w-plastic-head-a30,
GNB,Gaoneng 720mAh 2S,gnb-gaoneng-720mah-2s,100C,720,2S,LiHV,XT30,14.5x18x70mm,2.1,11.49,36.0,https://www.racedayquads.com/products/gaoneng-gnb-7-6v-2s-720mah-100c-lihv-micro-battery-long-type-xt30,
GNB,Gaoneng 720mAh 3S,gnb-gaoneng-720mah-3s,100C,720,3S,LiHV,XT30,22x18x71mm,2.07,16.99,54.0,https://www.racedayquads.com/products/gaoneng-gnb-11-4v-3s-720mah-100c-lihv-micro-battery-long-type-xt30,
GNB,Gaoneng 720mAh 4S,gnb-gaoneng-720mah-4s,100C,720,4S,LiHV,XT30,,1.92,20.99,72.0,https://www.racedayquads.com/products/gaoneng-14-8v-4s-720mah-100c-lihv-battery-xt30,
GNB,Gaoneng 720mAh 6S,gnb-gaoneng-720mah-6s,100C,720,6S,LiHV,XT30,44x8x72mm,1.98,32.49,106.0,https://www.racedayquads.com/products/gaoneng-gnb-22-8v-6s-720mah-100c-lihv-micro-battery-long-type-xt30,
GNB,Gaoneng 850mAh 2S,gnb-gaoneng-850mah-2s,60C,850,2S,LiHV,XT30,18x18x70mm,1.93,12.49,38.0,https://www.racedayquads.com/products/gaoneng-gnb-7-6v-2s-850mah-60c-lihv-micro-battery-long-type-xt30,
GNB,Gaoneng 850mAh 3S,gnb-gaoneng-850mah-3s,60C,850,3S,LiHV,XT30,24x18x71mm,1.75,16.99,52.0,https://www.racedayquads.com/products/gaoneng-gnb-11-4v-3s-720mah-60c-lihv-micro-battery-long-type-xt30,
GNB,Gaoneng 850mAh 4S,gnb-gaoneng-850mah-4s,120C,850,4S,LiHV,XT30,26.5x30x63mm,1.7,21.99,88.0,https://www.racedayquads.com/products/gaoneng-gnb-11-4v-3s-850mah-120c-lihv-micro-battery-xt30-1,
GNB,Gaoneng 850mAh 6S,gnb-gaoneng-850mah-6s,120C,850,6S,LiHV,XT30,40x30x64mm,1.78,34.49,130.0,https://www.racedayquads.com/products/gaoneng-gnb-22-8v-6s-850mah-120c-lihv-micro-battery-xt30,
GNB,Gaoneng 930mAh 4S,gnb-gaoneng-930mah-4s,120C,930,4S,LiPo,XT30,30x30x65mm,1.74,23.99,100.0,https://www.racedayquads.com/products/gaoneng-gnb-14-8v-4s-930mah-120c-lipo-micro-battery-xt30,
GNB,Gaoneng 930mAh 6S,gnb-gaoneng-930mah-6s,120C,930,6S,LiPo,XT30,45x30x65mm,1.94,39.99,148.0,https://www.racedayquads.com/products/gaoneng-gnb-22-2v-6s-930mah-120c-lipo-micro-battery-xt30,
GNB,Gaoneng (Square Type) 650mAh 2S,gnb-gaoneng-square-type-650mah-2s,80C,650,2S,LiPo,XT30,14x28x62mm,2.39,11.49,44.0,https://www.racedayquads.com/products/gaoneng-gnb-7-4v-2s-650mah-80c-lipo-micro-battery-square-type-xt30,
GNB,Gaoneng (Square Type) 650mAh 4S,gnb-gaoneng-square-type-650mah-4s,80C,650,4S,LiPo,XT30,26x28x64mm,2.13,20.49,79.0,https://www.racedayquads.com/products/gaoneng-gnb-14-8v-4s-650mah-80c-lipo-micro-battery-square-type-xt30,
GNB,Gaoneng (Square Type) 650mAh 6S,gnb-gaoneng-square-type-650mah-6s,80C,650,6S,LiPo,XT30,39x28x65mm,2.11,30.49,118.0,https://www.racedayquads.com/products/gaoneng-gnb-22-2v-6s-650mah-80c-lipo-micro-battery-square-type-xt30,
GNB,Gaoneng (Square Type) 850mAh 3S,gnb-gaoneng-square-type-850mah-3s,80C,850,3S,LiPo,XT30,24x30x63mm,1.8,16.99,80.0,https://www.racedayquads.com/products/gaoneng-gnb-11-1v-3s-850mah-80c-lipo-micro-battery-square-type-xt30,
GNB,Gaoneng (Square Type) 850mAh 4S,gnb-gaoneng-square-type-850mah-4s,80C,850,4S,LiPo,XT30,31x30x64mm,1.75,21.99,102.0,https://www.racedayquads.com/products/gaoneng-gnb-14-8v-4s-850mah-80c-lipo-micro-battery-square-type-xt30,
GNB,Gaoneng (Square Type) 850mAh 6S,gnb-gaoneng-square-type-850mah-6s,80C,850,6S,LiPo,XT30,45x30x65mm,1.72,32.49,150.0,https://www.racedayquads.com/products/gaoneng-gnb-22-2v-6s-850mah-80c-lipo-micro-battery-square-type-xt30,
GNB,Gaoneng / w 450mAh 1S,gnb-gaoneng-w-450mah-1s,80C,450,1S,LiHV,PH2.0,,3.5,5.99,13.3,https://www.racedayquads.com/products/gaoneng-3-8v-1s-450mah-80c-lihv-whoop-micro-battery-w-ph2-0,
GNB,Gaoneng w 450mAh 2S,gnb-gaoneng-w-450mah-2s,80C,450,2S,LiPo,XT30,14x17x61mm,3.0,9.99,28.0,https://www.racedayquads.com/products/gaoneng-7-4v-2s-450mah-80c-lipo-whoop-micro-battery-w-xt30,
GNB,Gaoneng / w 550mAh 1S,gnb-gaoneng-w-550mah-1s,100C,550,1S,LiHV,PH2.0,6x18x65mm,2.63,5.49,13.5,https://www.racedayquads.com/products/gaoneng-3-8v-1s-550mah-100c-lihv-whoop-micro-battery-w-ph2-0,
GNB,Gaoneng w 550mAh 2S,gnb-gaoneng-w-550mah-2s,100C,550,2S,LiHV,XT30,12x18x69mm,2.51,10.49,29.0,https://www.racedayquads.com/products/gaoneng-7-4v-2s-550mah-100c-lihv-micro-battery-w-xt30,
GNB,Gaoneng / w 660mAh 1S,gnb-gaoneng-w-660mah-1s,90C,660,1S,LiHV,PH2.0,"7.8
x18x5.8mm",2.79,6.99,15.0,https://www.racedayquads.com/products/gaoneng-3-8v-1s-660mah-90c-lihv-whoop-micro-battery-w-ph2-0,
GNB,Gaoneng / w/ Cabled 380mAh 1S,gnb-gaoneng-w-cabled-380mah-1s,90C,380,1S,LiHV,A30,6.7x17x50mm,4.15,5.99,10.0,https://www.racedayquads.com/products/gaoneng-gnb-3-8v-1s-380mah-90c-lihv-whoop-micro-battery-w-cabled-a30,
GNB,Gaoneng / w/ Cabled 450mAh 1S,gnb-gaoneng-w-cabled-450mah-1s,80C,450,1S,LiPo,PH2.0,6x17x59mm,3.0,4.99,12.0,https://www.racedayquads.com/products/gaoneng-gnb-3-7v-1s-450mah-80c-lipo-whoop-micro-battery-long-type-w-cabled-connector-ph2-0,
GNB,Gaoneng / w/ Cabled 530mAh 1S,gnb-gaoneng-w-cabled-530mah-1s,90C,530,1S,LiHV,PH2.0,6x17x60mm,3.22,6.49,12.0,https://www.racedayquads.com/products/gaoneng-gnb-3-8v-1s-530mah-90c-lihv-whoop-micro-battery-w-cabled-a30|https://www.racedayquads.com/products/gaoneng-gnb-3-8v-1s-530mah-90c-lihv-whoop-micro-battery-w-cabled-connector-ph2-0,
GNB,Gaoneng / w/ Cabled 550mAh 1S,gnb-gaoneng-w-cabled-550mah-1s,100C,550,1S,LiHV,A30,6x18x65mm,3.58,7.49,13.5,https://www.racedayquads.com/products/gaoneng-gnb-3-8v-1s-550mah-100c-lihv-whoop-micro-battery-w-cabled-a30,
GNB,Gaoneng / w/ Cabled 660mAh 1S,gnb-gaoneng-w-cabled-660mah-1s,90C,660,1S,LiHV,A30,"8x17.5x
66
mm",2.99,7.49,15.0,https://www.racedayquads.com/products/gaoneng-gnb-3-8v-1s-660mah-90c-lihv-whoop-micro-battery-w-cabled-a30,
GNB,Gaoneng / w/ Cabled 720mAh 1S,gnb-gaoneng-w-cabled-720mah-1s,100C,720,1S,LiHV,A30,7.5x18x66mm,2.92,7.99,18.5,https://www.racedayquads.com/products/gaoneng-gnb-3-8v-1s-720mah-100c-lihv-whoop-micro-battery-w-cabled-a30,
GNB,RDQ Series 1000mAh 6S,gnb-rdq-series-1000mah-6s,100C,1000,6S,LiHV,XT60,78x38x24mm,3.73,84.99,194.0,https://www.racedayquads.com/products/3-pack-of-rdq-series-22-2v-6s-1000mah-100c-lipo-battery-xt60,
GNB,RDQ Series 1300mAh 4S,gnb-rdq-series-1300mah-4s,100C,1300,4S,LiHV,XT60,34x35x78mm,3.87,76.49,164.0,https://www.racedayquads.com/products/rdq-series-14-8v-4s-1300mah-100c-lipo-battery-3-pack-xt60,
GNB,RDQ Series 1300mAh 6S,gnb-rdq-series-1300mah-6s,100C,1300,6S,LiPo,XT60,43x35x89mm,3.78,109.19,243.0,https://www.racedayquads.com/products/rdq-series-22-2v-6s-1300mah-100c-lipo-battery-3-pack-xt60,
GNB,RDQ Series 1500mAh 4S,gnb-rdq-series-1500mah-4s,100C,1500,4S,LiHV,XT60,33.2x38.8x77.5mm,2.15,48.99,187.0,https://www.racedayquads.com/products/rdq-series-14-8v-4s-1500mah-100c-lipo-battery-3-pack-xt60,
GNB,RDQ Series 2200mAh 5S,gnb-rdq-series-2200mah-5s,80C,2200,5S,LiPo,XT60,42.5 x 34.5 x 107.5mm,3.5,142.29,318.0,https://www.racedayquads.com/products/3-pack-of-rdq-series-18-5v-5s-2200mah-80c-long-range-lipo-battery-xt60,
GNB,RDQ Series 450mAh 1S,gnb-rdq-series-450mah-1s,80C,450,1S,LiHV,PH2.0,62x17x6.9mm,13.39,22.89,10.0,https://www.racedayquads.com/products/rdq-series-3-8v-1s-450mah-80c-lihv-whoop-micro-battery-for-tinyhawk-5-pack-ph2-0,
GNB,RDQ Series 550mAh 1S,gnb-rdq-series-550mah-1s,90C,550,1S,LiPo,A30,,2.94,5.99,13.6,https://www.racedayquads.com/products/rdq-series-3-7v-1s-550mah-90c-lipo-whoop-micro-battery-w-plastic-head-a30,
GNB,RDQ Series 650mAh 4S,gnb-rdq-series-650mah-4s,80C,650,4S,LiPo,XT30,26x28x59mm,5.07,48.79,30.0,https://www.racedayquads.com/products/3-pack-of-rdq-series-14-8v-4s-650mah-80c-lipo-micro-battery-xt30,
GNB,RDQ Series 720mAh 6S,gnb-rdq-series-720mah-6s,100C,720,6S,LiHV,XT30,74x44x18.5mm,2.65,43.56,103.0,https://www.racedayquads.com/products/3-pack-of-rdq-series-22-8v-6s-720mah-100c-lihv-whoop-micro-battery-xt30,
GNB,RDQ Series 850mAh 4S,gnb-rdq-series-850mah-4s,75C,850,4S,LiPo,XT60,25x31x59mm,5.03,63.29,60.0,https://www.racedayquads.com/products/3-pack-of-rdq-series-14-8v-4s-850mah-75c-lipo-micro-battery-xt60,
GNB,RDQ Series / - Cabled 550mAh 1S,gnb-rdq-series-cabled-550mah-1s,100C,550,1S,LiHV,A30,,2.87,5.99,13.6,https://www.racedayquads.com/products/rdq-series-3-8v-1s-550mah-100c-lihv-whoop-micro-battery-cabled-a30,
Happymodel,650mAh 1S,happymodel-650mah-1s,60C,650,1S,LiHV,PH2.0,60x18x8mm,2.83,6.99,16.0,https://www.racedayquads.com/products/happymodel-3-8v-1s-650mah-60c-lihv-micro-battery-ph2-0,
iFlight,Defender 25 550mAh 4S,iflight-defender-25-550mah-4s,60C,550,4S,LiPo,XT30,105x35x31.5mm,3.32,26.99,70.0,https://www.racedayquads.com/products/iflight-defender-25-4s-550mah-battery,
LUMENIER,10000mAh 4S,lumenier-10000mah-4s,25C,10000,4S,LiPo,XT60,,1.28,188.99,845.0,https://www.racedayquads.com/products/lumenier-10000mah-4s-25c-lipo-battery,
LUMENIER,10000mAh 6S,lumenier-10000mah-6s,25C,10000,6S,LiPo,XT90,,1.13,251.49,1245.0,https://www.racedayquads.com/products/lumenier-10000mah-6s-25c-lipo-battery-xt90,
LUMENIER,() 1000mAh 3S,lumenier-1000mah-3s,60C,1000,3S,LiPo,XT60,,2.57,28.49,100.0,https://www.racedayquads.com/products/lumenier-1000mah-3s-60c-lipo-battery-xt60,
LUMENIER,11.1 V 700mAh 3S,lumenier-11-1-v-700mah-3s,75C,700,3S,LiPo,XT30,,3.34,25.99,64.0,https://www.racedayquads.com/products/lumenier-11-1-v-3s-700mah-75c-lipo-battery-xt30,
LUMENIER,12000mAh 4S,lumenier-12000mah-4s,20C,12000,4S,LiPo,XT60,,1.22,217.49,940.0,https://www.racedayquads.com/products/lumenier-12000mah-4s-20c-lipo-battery,
LUMENIER,13000mAh 6S,lumenier-13000mah-6s,20C,13000,6S,LiPo,XT90,,1.03,295.99,940.0,https://www.racedayquads.com/products/lumenier-13000mah-6s-20c-lipo-battery-xt90,
LUMENIER,() 1300mAh 3S,lumenier-1300mah-3s,60C,1300,3S,LiPo,XT60,,1.87,26.99,118.0,https://www.racedayquads.com/products/lumenier-1300mah-3s-60c-lipo-battery-xt60,
LUMENIER,() 1300mAh 4S,lumenier-1300mah-4s,35C,1300,4S,LiPo,XT60,,1.48,28.49,135.0,https://www.racedayquads.com/products/lumenier-1300mah-4s-35c-lipo-battery-xt60,
LUMENIER,1300mAh 6S,lumenier-1300mah-6s,95C,1300,6S,LiPo,XT60,,2.03,58.49,241.0,https://www.racedayquads.com/products/lumenier-1300mah-6s-95c-lipo-battery,
LUMENIER,1500mAh 3S,lumenier-1500mah-3s,45C,1500,3S,LiPo,XT60,,2.04,33.99,125.0,https://www.racedayquads.com/products/lumenier-1500mah-3s-45c-lipo-battery,
LUMENIER,() 1500mAh 4S,lumenier-1500mah-4s,95C,1500,4S,LiPo,XT60,,1.82,40.49,192.0,https://www.racedayquads.com/products/lumenier-1500mah-4s-95c-lipo-battery-xt60,
LUMENIER,1500mAh 6S,lumenier-1500mah-6s,35C,1500,6S,LiPo,XT60,,1.62,53.99,229.0,https://www.racedayquads.com/products/lumenier-1500mah-6s-35c-lipo-battery,
LUMENIER,16000mAh 4S,lumenier-16000mah-4s,20C,16000,4S,LiPo,XT90,,1.12,264.99,1190.0,https://www.racedayquads.com/products/lumenier-16000mah-4s-20c-lipo-battery-xt90,
LUMENIER,1800mAh 3S,lumenier-1800mah-3s,35C,1800,3S,LiPo,XT60,,1.58,31.49,140.0,https://www.racedayquads.com/products/lumenier-1800mah-3s-35c-lipo-battery,
LUMENIER,1800mAh 4S,lumenier-1800mah-4s,75C,1800,4S,LiPo,XT60,,1.48,39.49,228.0,https://www.racedayquads.com/products/lumenier-1800mah-4s-75c-lipo-battery,
LUMENIER,2250mAh 3S,lumenier-2250mah-3s,35C,2250,3S,LiPo,XT60,,1.36,33.99,170.0,https://www.racedayquads.com/products/lumenier-2250mah-3s-35c-lipo-battery,
LUMENIER,2250mAh 4S,lumenier-2250mah-4s,35C,2250,4S,LiPo,XT60,,1.43,47.49,219.0,https://www.racedayquads.com/products/lumenier-2250mah-4s-35c-lipo-battery,
LUMENIER,3300mAh 3S,lumenier-3300mah-3s,35C,3300,3S,LiPo,XT60,,1.51,55.49,252.0,https://www.racedayquads.com/products/lumenier-3300mah-3s-35c-lipo-battery,
LUMENIER,3300mAh 4S,lumenier-3300mah-4s,35C,3300,4S,LiPo,XT60,,1.53,74.49,330.0,https://www.racedayquads.com/products/lumenier-3300mah-4s-35c-lipo-battery,
LUMENIER,4200mAh 4S,lumenier-4200mah-4s,35C,4200,4S,LiPo,XT60,,1.38,85.49,392.0,https://www.racedayquads.com/products/lumenier-4200mah-4s-35c-lipo-battery,
LUMENIER,500mAh 2S,lumenier-500mah-2s,50C,500,2S,LiPo,JST,,4.46,16.49,30.0,https://www.racedayquads.com/products/lumenier-500mah-2s-50c-lipo-battery,
LUMENIER,5200mAh 3S,lumenier-5200mah-3s,35C,5200,3S,LiPo,XT60,,1.36,78.49,392.0,https://www.racedayquads.com/products/lumenier-5200mah-3s-35c-lipo-battery,
LUMENIER,5200mAh 4S,lumenier-5200mah-4s,35C,5200,4S,LiPo,XT60,,1.21,93.49,473.0,https://www.racedayquads.com/products/lumenier-5200mah-4s-35c-lipo-battery,
LUMENIER,6000mAh 4S,lumenier-6000mah-4s,35C,6000,4S,LiPo,XT60,,1.98,175.49,540.0,https://www.racedayquads.com/products/lumenier-6000mah-4s-35c-lipo-battery-xt60,
LUMENIER,8000mAh 4S,lumenier-8000mah-4s,25C,8000,4S,LiPo,XT60,,1.31,155.49,735.0,https://www.racedayquads.com/products/lumenier-8000mah-4s-25c-lipo-battery,
LUMENIER,CineLifter 2900mAh 6S,lumenier-cinelifter-2900mah-6s,120C,2900,6S,LiPo,XT60,,2.18,140.49,485.0,https://www.racedayquads.com/products/lumenier-2900mah-6s-120c-cinelifter-lipo-battery-xt60,
LUMENIER,CineLifter 3500mAh 6S,lumenier-cinelifter-3500mah-6s,120C,3500,6S,LiPo,XT60,,2.0,155.49,580.0,https://www.racedayquads.com/products/lumenier-3500mah-6s-120c-cinelifter-lipo-battery-xt60,
LUMENIER,CineLifter 4000mAh 6S,lumenier-cinelifter-4000mah-6s,120C,4000,6S,LiPo,XT90,,2.03,179.99,655.0,https://www.racedayquads.com/products/lumenier-4000mah-6s-120c-cinelifter-lipo-battery-xt90,
LUMENIER,CineLifter 4500mAh 6S,lumenier-cinelifter-4500mah-6s,120C,4500,6S,LiPo,XT90,,2.03,202.49,745.0,https://www.racedayquads.com/products/lumenier-4500mah-6s-120c-cinelifter-lipo-battery-xt90,
LUMENIER,CineLifter 5200mAh 6S,lumenier-cinelifter-5200mah-6s,120C,5200,6S,LiPo,XT90,,1.88,217.49,810.0,https://www.racedayquads.com/products/lumenier-5200mah-6s-120c-cinelifter-lipo-battery-xt90,
