brand,model,slug,blades,diameter_in,mount,pitch_in,price_usd,suited_motors,weight_g,sources,note
Gemfan,"Hurricane X 51455 Durable Quad-Blade 5"" Prop - Choose Your",gemfan-hurricane-x-51455-durable-quad-blade-5-prop-choose-your,4,5.1,5mm,4.55,3.29,,5.3,https://www.racedayquads.com/products/gemfan-hurricane-x-51455-durabe-quad-blade-5-prop-4-pack-choose-your-color,
Gemfan,"Long Range 5126-2 Durable Bi-Blade 5"" Prop 1.5mm T-Mount - Choose Your",gemfan-long-range-5126-2-durable-bi-blade-5-prop-1-5mm-t-mount-choose-your,5,5.1,1.5mm T-mount,2.7,2.69,,2.6,https://www.racedayquads.com/products/gemfan-long-range-5126-2-durable-bi-blade-5-prop-4-pack-1-5mm-t-mount-choose-your-color,
Gemfan,"MCK ReV3 51366-3 Durable Tri-Blade 5"" Prop - Choose Your",gemfan-mck-rev3-51366-3-durable-tri-blade-5-prop-choose-your,5,5.1,5mm,2.8,3.99,,4.2,https://www.racedayquads.com/products/gemfan-mck-rev3-51366-durable-tri-blade-5-prop-4-pack-choose-your-color,
Gemfan,Proxy 5127.5 3-Blade,gemfan-proxy-5127-5-3-blade,3,5.0,5mm,2.75,3.99,,4.2,https://www.racedayquads.com/products/gemfan-proxy-5127-5-3-blade-propeller-set-of-4,
Gemfan,"Sbang 4934 Tri-Blade 5"" Prop - Choose Version",gemfan-sbang-4934-tri-blade-5-prop-choose-version,5,4.9,5mm,3.4,2.99,,3.5,https://www.racedayquads.com/products/gemfan-sbang-4943-tri-blade-5-prop-4-pack-choose-version,
Gemfan,"Vannystyle 5136 Tri-Blade 5"" Prop - Choose",gemfan-vannystyle-5136-tri-blade-5-prop-choose,5,5.0,5mm,3.6,3.99,,4.3,https://www.racedayquads.com/products/gemfan-vannystyle-5136-tri-blade-5-prop-4-pack-choose-color,
Gemfan,"WinDancer 3028 Tri-Blade 3"" Prop (5mm/1.5mm Mounting) - Choose Your",gemfan-windancer-3028-tri-blade-3-prop-5mm-1-5mm-mounting-choose-your,1,3.0,T-mount,2.8,2.69,,1.49,https://www.racedayquads.com/products/gemfan-windancer-3028-3-blade-propeller-compatible-5mm-1-5mm-mounting-hole,
Gemfan,"WinDancer 5043S POPO Compatible Tri-Blade 5"" Prop - Skitzo Galaxy Limited",gemfan-windancer-5043s-popo-compatible-tri-blade-5-prop-skitzo-galaxy-limited,3,5.0,5mm,4.3,5.99,,4.1,https://www.racedayquads.com/products/gemfan-windancer-5043s-popo-compatible-tri-blade-5-prop-4-pack-skitzo-galaxy-limited-edition,
HQProp,13x6.5x3 3-Blade,hqprop-13x6-5x3-3-blade,3,13.0,6mm,6.5,32.99,,48.8,https://www.racedayquads.com/products/hqprop-13x6-5x3-3-blade-propeller-set-of-2-black,
HQProp,13x8x3 3-Blade,hqprop-13x8x3-3-blade,3,13.0,6mm,8.0,32.99,,38.6,https://www.racedayquads.com/products/hqprop-13x8x3-3-blade-propeller-set-of-2-black,
HQProp,15x7x3 3-Blade - CW,hqprop-15x7x3-3-blade-cw,3,15.0,5mm (standard),7.0,13.99,,56.0,https://www.racedayquads.com/products/hqprop-15x7x3-3-blade-propeller-cw,
HQProp,15x7x3 Tri-Blade - CCW,hqprop-15x7x3-tri-blade-ccw,3,15.0,5mm (standard),7.0,13.99,,56.0,https://www.racedayquads.com/products/hqprop-15x7x3-tri-blade-propeller-ccw,
HQProp,16X8X3 3-Blade,hqprop-16x8x3-3-blade,3,16.0,6mm,8.0,18.49,,66.5,https://www.racedayquads.com/products/hqprop-16x8x3-3-blade-propeller-set-of-2,
HQProp,17x8x3 3-Blade,hqprop-17x8x3-3-blade,3,17.0,6mm,8.0,40.49,,70.0,https://www.racedayquads.com/products/hqprop-17x8x3-3-blade-propeller-set-of-2-black,
HQProp,5x4.3x3 V1S,hqprop-5x4-3x3-v1s,3,5,5mm shaft,4.3,,"2206/2207/2306 motors, 1700-2700KV depending on cells",4.1,,SEED DATA — verify against manufacturer page before launch
HQProp,8x3.7x3 3-Blade,hqprop-8x3-7x3-3-blade,3,8.0,5mm,3.7,11.49,,12.0,https://www.racedayquads.com/products/hqprop-8x3-7x3-3-blade-propeller-set-of-4-gray,
HQProp,8x4x3 3-Blade,hqprop-8x4x3-3-blade,3,8.0,5mm,4.0,11.99,,13.0,https://www.racedayquads.com/products/hqprop-8x4x3-3-blade-propeller-set-of-4,
HQProp,Cine8 8x4.5x3 3-Blade,hqprop-cine8-8x4-5x3-3-blade,3,8.0,5mm,4.5,16.99,,13.0,https://www.racedayquads.com/products/hqprop-cine8-8x4-5x3-3-blade-propeller-set-of-4,
HQProp,DP 6x3x3 V1S,hqprop-dp-6x3x3-v1s,3,6.0,5mm,3.0,5.49,,6.0,https://www.racedayquads.com/products/hqprop-dp-6x3x3-v1s-propeller-set-of-4-light-blue,
HQProp,"Duct T63MMX6 Hexa-Blade 2.5"" Cinewhoop Prop",hqprop-duct-t63mmx6-hexa-blade-2-5-cinewhoop-prop,6,2.5,1.5mm,1.5,2.49,,1.85,https://www.racedayquads.com/products/hqprop-durable-t63mmx6-hexa-blade-63mm-cinewhoop-prop-4-pack-light-gray,
HQProp,"Ethix P2 Pickle 5.1"" 3-Blade",hqprop-ethix-p2-pickle-5-1-3-blade,3,5.1,5mm,2.9,5.49,,3.8,https://www.racedayquads.com/products/hqprop-ethix-p2-pickle-5-1-3-blade-propeller-set-of-4,
HQProp,FlowerPig R29V3 3-Blade,hqprop-flowerpig-r29v3-3-blade,3,5.1,5mm,2.9,2.99,,4.4,https://www.racedayquads.com/products/hqprop-flowerpig-r29v3-3-blade-propeller-set-of-4,
HQProp,FlowerPig R29V4 3-Blade,hqprop-flowerpig-r29v4-3-blade,3,5.1,5mm,2.9,2.99,,4.3,https://www.racedayquads.com/products/hqprop-flowerpig-r29v4-3-blade-propeller-set-of-4-pink,
HQProp,"HQ Prop 3.5x2.2x3 Tri-Blade 3.5"" Prop",hqprop-hq-prop-3-5x2-2x3-tri-blade-3-5-prop,3,3.5,5mm,2.2,3.49,,1.6,https://www.racedayquads.com/products/hq-prop-3528-3-5x2-8x3-tri-blade-3-5-prop-4-pack-grey-1,
HQProp,"HQ Prop 3.5x2.8x3 Tri-Blade 3.5"" Prop",hqprop-hq-prop-3-5x2-8x3-tri-blade-3-5-prop,3,3.5,5mm,2.8,3.49,,1.7,https://www.racedayquads.com/products/hq-prop-3528-3-5x2-8x3-tri-blade-3-5-prop-4-pack-grey,
HQProp,HQ Prop 40MMX2 Ultralight Bi-Blade 40mm Micro/Whoop Prop,hqprop-hq-prop-40mmx2-ultralight-bi-blade-40mm-micro-whoop-prop,2,1.6,1mm,1.2,2.99,,0.2,https://www.racedayquads.com/products/hq-40mmx2-ultralight-bi-blade-40mm-micro-whoop-prop-4-pack-grey,
